time,fcnt,curDeg,tgtDeg,Ea_motor_mWh,Ei_motor_mWh,E_logic_mWh,E_solar_mWh,LDR_E,LDR_W,Vm_motor,Im_motor,Vm_logic,Im_logic,Vm_solar,Im_solar
2025-07-29 05:12:29.409683466+00:00,216,-90.2,-90,0,0.016,13.41,1.81,224,82,0,0,4.7,34.21,4.31,5
2025-07-29 05:17:29.373343023+00:00,217,-90.2,-90,0,0.018,13.34,1.39,228,88,0,0,4.7,34.09,4.31,3.86
2025-07-29 05:22:29.336218495+00:00,218,-90.2,-90,0,0.017,13.4,1.52,220,81,0,0,4.7,34.23,4.31,4.22
2025-07-29 05:27:29.320602395+00:00,219,-90.2,-90,0,0.02,13.3,1.71,226,82,0,0,4.69,34.08,4.31,4.74
2025-07-29 05:32:29.281726690+00:00,220,-90.2,-90,0,0.019,13.31,1.53,244,87,0,0,4.69,34.1,4.31,4.23
2025-07-29 05:37:29.236792575+00:00,221,-90.2,-90,0,0.018,13.32,1.18,280,107,0,0,4.7,34.07,4.31,3.27
2025-07-29 05:42:36.193410290+00:00,222,-90.2,-90,0,0.016,13.32,0.91,288,116,0,0,4.7,34.05,4.3,2.54
2025-07-29 05:47:29.161981733+00:00,223,-90.2,-90,0,0.017,13.31,0.9,279,113,0,0,4.69,34.08,4.3,2.52
2025-07-29 05:52:29.129311880+00:00,224,-90.2,-90,0,0.019,13.29,0.9,295,119,0,0,4.69,34.04,4.3,2.51
2025-07-29 05:57:36.096189493+00:00,225,-90.2,-90,0,0.019,13.31,0.76,278,120,0,0,4.69,34.08,4.3,2.14
2025-07-29 06:07:29.034874241+00:00,227,-90.2,-90,0,0.019,13.42,1.08,240,97,0,0,4.73,34.13,4.31,3.02
2025-07-29 06:12:29.012119446+00:00,228,-90.2,-89.8,0,0.015,13.4,1.19,227,90,0,0,4.72,34.13,4.31,3.31
2025-07-29 06:22:35.923223736+00:00,230,-90.2,-87.8,0,0.017,13.34,1.28,220,88,0,0,4.7,34.11,4.31,3.57
2025-07-29 06:27:35.897158529+00:00,231,-90.2,-86.8,0,0.017,13.44,1.4,225,80,0,0,4.71,34.3,4.31,3.89
2025-07-29 06:32:28.863216179+00:00,232,-90.2,-85.8,0,0.018,13.46,1.34,247,87,0,0,4.72,34.24,4.31,3.73
2025-07-29 06:37:28.826950069+00:00,233,-84.4,-84.8,0.006,0.02,13.28,1.06,263,104,5.06,27.4,4.72,33.89,4.31,2.96
2025-07-29 06:42:28.795756676+00:00,234,-84.4,-83.7,0,0.029,13.15,0.88,264,112,0,0,4.7,33.66,4.3,2.47
2025-07-29 06:47:28.760047063+00:00,235,-84.4,-82.7,0,0.026,13.18,1,227,93,0,0,4.7,33.65,4.31,2.8
2025-07-29 06:52:28.724811207+00:00,236,-84.4,-81.7,0,0.026,13.21,1.4,201,75,0,0,4.69,33.8,4.31,3.88
2025-07-29 07:07:28.625642966+00:00,239,-78.7,-78.5,0.006,0.027,13.35,3.07,133,42,5.04,33.88,4.69,34.21,4.32,8.55
2025-07-29 07:12:35.587940001+00:00,240,-78.7,-77.4,0,0.023,13.4,3.62,126,29,0,0,4.68,34.3,4.32,10.04
2025-07-29 07:22:35.513797865+00:00,242,-78.7,-75.2,0,0.027,13.4,2.98,160,56,0,0,4.69,34.29,4.32,8.3
2025-07-29 07:27:35.417033513+00:00,243,-78.7,-74,0,0.028,13.27,2.29,166,62,0,0,4.67,34.09,4.31,6.43
2025-07-29 07:32:28.380558152+00:00,244,-72.7,-72.9,0.007,0.025,13.36,2.18,146,61,5.04,36.05,4.67,34.28,4.31,6.09
2025-07-29 07:37:42.360938998+00:00,245,-72.7,-71.7,0,0.024,13.26,2.75,134,49,0,0,4.66,34.15,4.32,7.69
2025-07-29 07:42:28.317398678+00:00,246,-72.7,-70.6,0,0.023,13.3,3.29,124,41,0,0,4.65,34.28,4.32,9.14
2025-07-29 07:47:28.288022147+00:00,247,-72.7,-69.4,0,0.021,13.2,3.53,118,39,0,0,4.64,34.14,4.32,9.82
2025-07-29 07:52:35.250595163+00:00,248,-72.7,-68.1,0,0.024,13.25,4.01,105,37,0,0,4.64,34.27,4.33,11.12
2025-07-29 07:57:35.206899043+00:00,249,-66.7,-66.9,0.007,0.03,13.09,4.9,92,34,5.05,39.15,4.64,33.9,4.33,13.56
2025-07-29 08:02:28.170600439+00:00,250,-66.7,-65.7,0,0.032,13.08,5.76,79,23,0,0,4.64,33.83,4.34,15.88
2025-07-29 08:07:28.136522930+00:00,251,-66.7,-64.4,0,0.032,13.02,8.25,65,15,0,0,4.64,33.76,4.36,22.77
2025-07-29 08:12:35.115871219+00:00,252,-66.7,-63.1,0,0.029,12.98,10.35,73,21,0,0,4.64,33.86,4.37,28.67
2025-07-29 08:17:35.079568405+00:00,253,-66.7,-61.8,0,0.031,12.99,7.9,77,24,0,0,4.65,33.84,4.35,21.95
2025-07-29 08:22:28.043794648+00:00,254,-60.4,-60.4,0.006,0.028,13,7,75,21,5.06,29.37,4.65,33.87,4.35,19.49
2025-07-29 08:27:28.005932902+00:00,255,-60.4,-59.1,0,0.027,13.04,7.47,72,22,0,0,4.65,33.84,4.35,20.65
2025-07-29 08:32:34.965604592+00:00,256,-60.4,-57.7,0,0.034,12.98,9.52,65,19,0,0,4.64,33.8,4.37,26.37
2025-07-29 08:52:27.827291365+00:00,260,-54.2,-51.8,0,0.026,13.24,9.94,57,16,0,0,4.67,34.25,4.37,27.48
2025-07-29 08:57:27.794580838+00:00,261,-54.2,-50.3,0,0.027,13.21,11.67,57,15,0,0,4.67,34.19,4.38,32.21
2025-07-29 09:02:27.758332514+00:00,262,-48.2,-48.7,0.006,0.029,13,12.54,56,19,5.07,31.18,4.7,33.38,4.39,34.51
2025-07-29 09:07:41.732297165+00:00,263,-48.2,-47.1,0,0.023,12,12.67,52,17,0,0,4.69,30.85,4.39,34.88
2025-07-29 09:12:34.686985351+00:00,264,-48.2,-45.5,0,0.028,11.89,12.41,52,19,0,0,4.66,30.83,4.38,34.21
2025-07-29 09:17:41.664207966+00:00,265,-48.2,-43.8,0,0.03,12.14,13.85,52,20,0,0,4.71,31.12,4.39,38.06
2025-07-29 09:22:27.617668637+00:00,266,-42.4,-42.1,0.006,0.026,12.96,13.41,39,10,5.04,37,4.73,33.04,4.39,36.86
2025-07-29 09:27:34.577395272+00:00,267,-42.4,-40.4,0,0.029,13.43,14.5,45,16,0,0,4.73,34.25,4.4,39.8
2025-07-29 09:32:34.553452070+00:00,268,-42.4,-38.6,0,0.03,13.39,16.36,38,11,0,0,4.72,34.23,4.41,44.8
2025-07-29 09:37:27.514742044+00:00,269,-36.4,-36.8,0.007,0.03,13.32,16.29,39,12,5.06,38.78,4.71,34.13,4.41,44.61
2025-07-29 09:42:34.483007907+00:00,270,-36.4,-35,0,0.029,13.15,14.66,40,12,0,0,4.7,33.82,4.4,40.32
2025-07-29 09:47:34.577597477+00:00,271,-36.4,-33.1,0,0.031,13.25,17.35,32,7,0,0,4.7,34.02,4.41,47.46
2025-07-29 09:52:34.408311786+00:00,272,-30.4,-31.2,0.007,0.027,13.16,16.17,31,209,5.05,36.02,4.7,33.78,4.4,44.33
2025-07-29 09:57:27.376899002+00:00,273,-30.4,-29.3,0,0.029,13.19,17.92,33,14,0,0,4.72,33.77,4.41,49.01
2025-07-29 10:02:27.338726371+00:00,274,-30.4,-27.3,0,0.028,13.23,18.6,28,64,0,0,4.72,33.83,4.42,50.8
2025-07-29 10:07:34.311394351+00:00,275,-24.2,-25.4,0.006,0.027,13.26,18.64,30,1020,5.05,34.57,4.72,33.87,4.42,50.85
2025-07-29 10:12:27.274078360+00:00,276,-24.2,-23.3,0,0.032,13.2,18.32,29,1019,0,0,4.72,33.66,4.42,50
2025-07-29 10:17:27.296291423+00:00,277,-24.2,-21.3,0,0.028,13.24,19.47,27,1019,0,0,4.73,33.7,4.42,53.04
2025-07-29 10:22:34.212374510+00:00,278,-18.2,-19.2,0.006,0.029,13.26,19.02,28,9,5.06,29.02,4.74,33.75,4.42,51.85
2025-07-29 10:32:27.142455884+00:00,280,-18.2,-15,0,0.03,13.48,21.86,19,2,0,0,4.72,34.42,4.44,59.36
2025-07-29 10:37:27.112429432+00:00,281,-12.4,-12.8,0.006,0.03,13.16,23.78,26,1020,5.06,33.45,4.72,33.63,4.45,64.4
2025-07-29 10:42:34.098975121+00:00,282,-12.4,-10.7,0,0.026,11.87,26.74,16,1020,0,0,4.72,30.3,4.47,72.1
2025-07-29 10:47:34.045943217+00:00,283,-12.4,-8.5,0,0.024,11.98,26.53,26,1020,0,0,4.75,30.38,4.47,71.56
